Date,Investment Category,Type,Stock,Transacted Units,Transacted Price (per unit),Fees,Stock Split Ratio,Previous Units,Cumulative Units,Transacted Value,Previous Cost,Cost of Transaction,Avg Stock Price,Cumulative Cost,Gains/Losses from Sale,Realised Gains/Losses %,,,,,,,
2022-05-16,US Stock IB,Div,PG,400,$0.91,$109.60,0.0,400,400,$255.72,"$58,363.36",-,-,"$58,363.36",$255.72,,,2022-09-06,US Stock IB,USD,"$1,561.90",,
2022-05-24,US Stock IB,Sell,DiDi,6922,$1.41,$35.73,0.0,6922,0,"$9,724.29","$101,999.37","$101,999.37",$14.74,$0.00,"-$92,275.08",,,2022-10-05,HK Stock IB,HKD,$379.68,,
2022-06-01,US Stock IB,Div,V,450,$0.38,$50.63,0.0,450,450,$118.12,"$98,138.25",-,-,"$98,138.25",$118.12,,,2022-10-05,US Stock IB,USD,"$1,701.18",,
2022-06-06,HK Stock IB,Div,0700,2600,$1.60,$0.00,0.0,2600,2600,"$4,160.00","$984,895.25",-,-,"$984,895.25","$4,160.00",,,2022-11-03,HK Stock IB,HKD,$553.59,,
2022-06-10,US Stock IB,Div,PFE,1000,$0.40,$120.00,0.0,1000,1000,$280.00,"$52,640.84",-,-,"$52,640.84",$280.00,,,2022-11-03,US Stock IB,USD,"$2,343.97",,
2022-06-06,US Stock IB,Split,AMZN,0,$0.00,$0.00,20.0,35,700,$0.00,"$98,881.20",-,-,"$98,881.20",$0.00,,,2022-12-05,HK Stock IB,HKD,$570.74,,
2022-06-22,HK Stock IB,Buy,0665,90000,$0.00,$0.00,0.0,900000,990000,$0.00,"$1,366,887.23",-,-,"$1,366,887.23",$0.00,,,2022-12-05,US Stock IB,USD,"$3,429.71",,
2022-06-24,US Stock IB,Div,VYM,910,$0.85,$231.48,0.0,910,910,$540.11,"$99,824.47",-,-,"$99,824.47",$540.11,,,2023-01-05,HK Stock IB,HKD,$584.57,,
2022-06-28,US Stock IB,Div,UNH,200,$1.65,$99.00,0.0,200,200,$231.00,"$102,093.00",-,-,"$102,093.00",$231.00,,,2023-01-05,US Stock IB,USD,"$3,907.15",,
2022-07-05,US Stock IB,Div,VOO,110,$1.43,$47.26,0.0,110,110,$110.27,"$43,708.40",-,-,"$43,708.40",$110.27,,,2023-02-03,HK Stock IB,HKD,$526.77,,
2022-07-06,HK Stock SHK,Div,0968,6000,$0.10,$36.00,0.0,6000,6000,$564.00,"$92,642.80",-,-,"$92,642.80",$564.00,,,2023-02-03,US Stock IB,USD,"$4,167.53",,
2022-07-18,US Stock IB,Split,GOOGL,0,$0.00,$0.00,20.0,35,700,$0.00,"$98,144.15",-,-,"$98,144.15",$0.00,,,2024-05-30,HK Stock Victory,HKD,$122.30,,
2022-07-19,HK Stock Citi SG,Div,3329,82000,$0.05,$0.00,0.0,82000,82000,"$4,100.00","$95,394.52",-,-,"$95,394.52","$4,100.00",,,,,,,,
2022-07-29,US Stock IB,Div,QQQ,645,$0.53,$102.05,0.0,645,645,$238.12,"$213,221.89",-,-,"$213,221.89",$238.12,,,,,,,,
2022-08-01,US Stock IB,Div,JPM,300,$1.00,$90.00,0.0,300,300,$210.00,"$39,315.02",-,-,"$39,315.02",$210.00,,,,,,,,
2022-08-02,HK Stock Citi SG,Div,0823,3073,$1.46,$0.00,0.0,3073,3073,"$4,489.04","$210,013.37",-,-,"$210,013.37","$4,489.04",,,,,,,,
2022-08-04,HK Stock SHK,Div,1772,2000,$0.32,$50.00,0.0,2000,2000,$582.37,"$316,218.96",-,-,"$316,218.96",$582.37,,,,,,,,
2022-08-04,HK Stock SHK,Buy,1772,800,$0.00,$0.00,0.0,2000,2800,$0.00,"$316,218.96",-,-,"$316,218.96",$0.00,,,,,,,,
2022-08-11,US Stock IB,Div,AAPL,2120,$0.23,$146.28,0.0,2120,2120,$341.32,"$347,581.64",-,-,"$347,581.64",$341.32,,,,,,,,
2022-08-15,US Stock IB,Div,PG,400,$0.91,$109.60,0.0,400,400,$255.72,"$58,363.36",-,-,"$58,363.36",$255.72,,,,,,,,
2022-08-25,US Stock IB,Split,TSLA,780,$0.00,$0.00,3.0,500,1280,$0.00,"$441,741.48",-,-,"$441,741.48",$0.00,,,,,,,,
2022-08-25,US Stock Citi SG,Split,TSLA,220,$0.00,$0.00,3.0,1280,1500,$0.00,"$441,741.48",-,-,"$441,741.48",$0.00,,,,,,,,
2022-09-01,US Stock IB,Div,V,450,$0.38,$50.63,0.0,450,450,$118.12,"$98,138.25",-,-,"$98,138.25",$118.12,,,,,,,,
2022-09-06,US Stock IB,Div,PFE,1000,$0.40,$120.00,0.0,1000,1000,$280.00,"$52,640.84",-,-,"$52,640.84",$280.00,,,,,,,,
2022-09-06,HK Stock SHK,Div,0968,6000,$0.10,$30.00,0.0,6000,6000,$570.00,"$92,642.80",-,-,"$92,642.80",$570.00,,,,,,,,
2022-09-14,HK Stock IB,Div,0388,8900,$3.45,$0.00,0.0,9300,9300,"$30,705.00","$3,272,522.92",-,-,"$3,272,522.92","$30,705.00",,,,,,,,
2022-09-15,HK Stock Citi SG,Div,0388,400,$3.45,$0.00,0.0,9300,9300,"$1,380.00","$3,272,522.92",-,-,"$3,272,522.92","$1,380.00",,,,,,,,
2022-09-20,US Stock IB,Div,UNH,200,$1.65,$99.00,0.0,200,200,$231.00,"$102,093.00",-,-,"$102,093.00",$231.00,,,,,,,,
